AssmentYr,ProjYear,lag,Species,Area,OFL,ABC,TAC,Order,OY,IsTotal
2018,2020,2,Pacific cod,W,n/a,"9,695","6,787",2.0,1,Pacific codW
2018,2020,2,Pacific cod,C,n/a,"9,738","7,304",2.0,1,Pacific codC
2018,2020,2,Pacific cod,E,n/a,"2,159","1,619",2.0,1,Pacific codE
2018,2020,2,Pacific cod,Total,"26,078","21,592","15,709",2.0,1,Pacific codTotal
2018,2020,2,Sablefish,W,n/a,"2,105","2,105",3.0,1,SablefishW
2018,2020,2,Sablefish,C,n/a,"6,931","6,931",3.0,1,SablefishC
2018,2020,2,Sablefish,WYK,n/a,"2,433","2,433",3.0,1,SablefishWYK
2018,2020,2,Sablefish,SEO,n/a,"3,993","3,993",3.0,1,SablefishSEO
2018,2020,2,Sablefish,E (WYK and SEO) (subtotal),n/a,"6,426","6,426",3.0,1,SablefishEWYKandSEOsubtotal
2018,2020,2,Sablefish,Total,"34,872","15,462","15,462",3.0,1,SablefishTotal
2018,2020,2,Shallow-water flatfish,W,n/a,"25,952","13,250",,1,Shallow-water flatfishW
2018,2020,2,Shallow-water flatfish,C,n/a,"26,065","26,065",,1,Shallow-water flatfishC
2018,2020,2,Shallow-water flatfish,WYK,n/a,"2,308","2,308",,1,Shallow-water flatfishWYK
2018,2020,2,Shallow-water flatfish,SEO,n/a,"1,983","1,983",,1,Shallow-water flatfishSEO
2018,2020,2,Shallow-water flatfish,Total,"69,167","56,308","43,606",,1,Shallow-water flatfishTotal
2018,2020,2,Deep-water flatfish,W,n/a,420,420,,1,Deep-water flatfishW
2018,2020,2,Deep-water flatfish,C,n/a,"3,488","3,488",,1,Deep-water flatfishC
2018,2020,2,Deep-water flatfish,WYK,n/a,"3,323","3,323",,1,Deep-water flatfishWYK
2018,2020,2,Deep-water flatfish,SEO,n/a,"2,393","2,393",,1,Deep-water flatfishSEO
2018,2020,2,Deep-water flatfish,Total,"11,581","9,624","9,624",,1,Deep-water flatfishTotal
2018,2020,2,Rex sole,W,n/a,"2,956","2,956",,1,Rex soleW
2018,2020,2,Rex sole,C,n/a,"8,371","8,371",,1,Rex soleC
2018,2020,2,Rex sole,WYK,n/a,"1,664","1,664",,1,Rex soleWYK
2018,2020,2,Rex sole,SEO,n/a,"1,734","1,734",,1,Rex soleSEO
2018,2020,2,Rex sole,Total,"17,942","14,725","14,725",,1,Rex soleTotal
2018,2020,2,Arrowtooth flounder,W,n/a,"34,765","14,500",,1,Arrowtooth flounderW
2018,2020,2,Arrowtooth flounder,C,n/a,"68,575","68,575",,1,Arrowtooth flounderC
