AssmentYr,ProjYear,lag,Species,Area,OFL,ABC,TAC
2010,2010,1,Sablefish,E (WYK and SEO subtotal),,"4,200","4,200"
2010,2010,1,Sablefish,SEO,,"2,580","2,580"
2010,2010,1,Sablefish,Total,"12,270","10,370","10,370"
2010,2010,1,Sablefish,W,,"1,660","1,660"
2010,2010,1,Sablefish,WYK,,"1,620","1,620"
2010,2010,1,Shallow-water Flatfish,C,,"29,999","13,000"
2010,2010,1,Shallow-water Flatfish,SEO,,"1,334","1,334"
2010,2010,1,Shallow-water Flatfish,Total,"67,768","56,242","20,062"
2010,2010,1,Shallow-water Flatfish,W,,"23,681","4,500"
2010,2010,1,Shallow-water Flatfish,WYK,,"1,228","1,228"
2010,2010,1,Shallow-water Flatfish,,,,
2010,2010,1,Shortraker Rockfish,C,,325,325
2010,2010,1,Shortraker Rockfish,E,,455,455
2010,2010,1,Shortraker Rockfish,Total,"1,219",914,914
2010,2010,1,Shortraker Rockfish,W,,134,134
2010,2010,1,Shortraker Rockfish,,,,
2010,2010,1,Thornyhead Rockfish,C,,637,637
2010,2010,1,Thornyhead Rockfish,E,,708,708
2010,2010,1,Thornyhead Rockfish,Total,"2,360","1,770","1,770"
2010,2010,1,Thornyhead Rockfish,W,,425,425
2010,2010,1,Thornyhead Rockfish,,,,
2011,2011,1,Arrowtooth Flounder,C,,"144,559","30,000"
2011,2011,1,Arrowtooth Flounder,SEO,,"11,723","2,500"
2011,2011,1,Arrowtooth Flounder,Total,"251,068","213,150","43,000"
2011,2011,1,Arrowtooth Flounder,W,,"34,317","8,000"
2011,2011,1,Arrowtooth Flounder,WYK,,"22,551","2,500"
2011,2011,1,Atka Mackerel,GW,"6,200","4,700","2,000"
2011,2011,1,Big Skates,C,,"2,049","2,049"
2011,2011,1,Big Skates,E,,681,681
2011,2011,1,Big Skates,Total,"4,438","3,328","3,328"
2011,2011,1,Big Skates,W,,598,598
2011,2011,1,Deep-water Flatfish,C,,"2,919","2,919"
2011,2011,1,Deep-water Flatfish,SEO,,774,774
2011,2011,1,Deep-water Flatfish,Total,"7,823","6,305","6,305"
2011,2011,1,Deep-water Flatfish,W,,529,529
2011,2011,1,Deep-water Flatfish,WYK,,"2,083","2,083"
2011,2011,1,Demersal Shelf Rockfish,SEO,479,300,300
2011,2011,1,Flathead Sole,C,,"28,104","5,000"
2011,2011,1,Flathead Sole,SEO,,"1,523","1,523"
2011,2011,1,Flathead Sole,Total,"61,412","49,133","10,587"
2011,2011,1,Flathead Sole,W,,"17,442","2,000"
2011,2011,1,Flathead Sole,WYK,,"2,064","2,064"
2011,2011,1,Longnose Skates,C,,"2,009","2,009"
2011,2011,1,Longnose Skates,E,,762,762
2011,2011,1,Longnose Skates,Total,"3,803","2,852","2,852"
2011,2011,1,Longnose Skates,W,,81,81
2011,2011,1,Northern Rockfish,C,,"2,281","2,281"
2011,2011,1,Northern Rockfish,E,,0,0
2011,2011,1,Northern Rockfish,Total,"5,784","4,854","4,854"
2011,2011,1,Northern Rockfish,W,,"2,573","2,573"
2011,2011,1,Octopus,GW,"1,273",954,954
2011,2011,1,Other Rockfish,C,,507,507
2011,2011,1,Other Rockfish,SEO,,"2,757",200
2011,2011,1,Other Rockfish,Total,"4,881","3,752","1,195"
2011,2011,1,Other Rockfish,W,,212,212
